"","OTU","Sample","Abundance","Replicates","Treatment","Genotype","Day","Kingdom","Phylum","Class","Order","Family","Genus"
"49","5d81b46613a582d1a94fa803c90e44fe","MBSF4",0.0229166666666667,1,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"50","5d81b46613a582d1a94fa803c90e44fe","R1D3BW",0.0217577368349926,1,"Wastewater_Control","CONTROL","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"51","5d81b46613a582d1a94fa803c90e44fe","MBSF20",0.0199095022624434,2,"Wastewater_Daphnia","LRV_12_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"52","5d81b46613a582d1a94fa803c90e44fe","MBSF10",0.018557941503147,1,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"53","5d81b46613a582d1a94fa803c90e44fe","MBSF5",0.0181019760917297,2,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"54","5d81b46613a582d1a94fa803c90e44fe","MBSF30",0.0161128376763089,3,"Wastewater_Daphnia","LR2_36_1","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"55","5d81b46613a582d1a94fa803c90e44fe","MBSF22",0.0153531682943448,1,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"56","5d81b46613a582d1a94fa803c90e44fe","MBSF1",0.0147645271553361,1,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"57","5d81b46613a582d1a94fa803c90e44fe","MBSF32",0.0143711419753086,2,"Wastewater_Daphnia","LR2_36_1","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"58","5d81b46613a582d1a94fa803c90e44fe","MBSF13",0.0129215542521994,1,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"59","5d81b46613a582d1a94fa803c90e44fe","MBSF2",0.0123535289308747,2,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"60","5d81b46613a582d1a94fa803c90e44fe","MBSF31",0.0105459339060866,1,"Wastewater_Daphnia","LR2_36_1","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"61","5d81b46613a582d1a94fa803c90e44fe","R1D2BW",0.0105384261389784,1,"Wastewater_Control","CONTROL","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"62","5d81b46613a582d1a94fa803c90e44fe","MBSF28",0.00928190029442587,1,"Wastewater_Daphnia","LR2_36_1","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"63","5d81b46613a582d1a94fa803c90e44fe","R3D2BW8532",0.00826901874310915,3,"Wastewater_Control","CONTROL","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"64","5d81b46613a582d1a94fa803c90e44fe","MBSF24",0.00629948563832861,3,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"65","5d81b46613a582d1a94fa803c90e44fe","MBSF25",0.0059301827963563,1,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"66","5d81b46613a582d1a94fa803c90e44fe","MBSF16",0.0056065732237796,1,"Wastewater_Daphnia","LRV_8.5_3","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"67","5d81b46613a582d1a94fa803c90e44fe","R1D1BW",0.00372908217964853,1,"Wastewater_Control","CONTROL","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"68","57b50e6e3ddfafe90166e29ca03d3259","MBSF22",0.434249375425846,1,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"69","57b50e6e3ddfafe90166e29ca03d3259","MBSF31",0.31060502750125,1,"Wastewater_Daphnia","LR2_36_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"70","57b50e6e3ddfafe90166e29ca03d3259","MBSF4",0.300290697674419,1,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"71","57b50e6e3ddfafe90166e29ca03d3259","MBSF13",0.271627565982405,1,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"72","57b50e6e3ddfafe90166e29ca03d3259","MBSF5",0.239326665040254,2,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
