"","OTU","Sample","Abundance","Replicates","Treatment","Genotype","Day","Kingdom","Phylum","Class","Order","Family","Genus"
"67","64103f6795b02ed78383eea1ab6d29a2","MBSF26",0.000226377507130891,2,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"68","64103f6795b02ed78383eea1ab6d29a2","MBSF2",0.000133214920071048,2,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"69","64103f6795b02ed78383eea1ab6d29a2","MBSF7",8.9863407620417e-05,1,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"70","64103f6795b02ed78383eea1ab6d29a2","MBSF5",8.90075656430797e-05,2,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"71","64103f6795b02ed78383eea1ab6d29a2","MBSF3",4.48329970858552e-05,3,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"72","57b50e6e3ddfafe90166e29ca03d3259","R1D1BW",0.483783783783784,1,"Wastewater_Control","CONTROL","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"73","57b50e6e3ddfafe90166e29ca03d3259","MBSF22",0.474726350449408,1,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"74","57b50e6e3ddfafe90166e29ca03d3259","MBSF10",0.4188650512832,1,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"75","57b50e6e3ddfafe90166e29ca03d3259","MBSF1",0.417160560344828,1,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"76","57b50e6e3ddfafe90166e29ca03d3259","MBSF8",0.391654301002743,2,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"77","57b50e6e3ddfafe90166e29ca03d3259","MBSF31",0.383878015069776,1,"Wastewater_Daphnia","LR2_36_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"78","57b50e6e3ddfafe90166e29ca03d3259","MBSF4",0.372039077485837,1,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"79","57b50e6e3ddfafe90166e29ca03d3259","MBSF16",0.369538807649044,1,"Wastewater_Daphnia","LRV_8.5_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"80","57b50e6e3ddfafe90166e29ca03d3259","MBSF9",0.357902423440281,3,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"81","57b50e6e3ddfafe90166e29ca03d3259","MBSF28",0.354557734407751,1,"Wastewater_Daphnia","LR2_36_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"82","57b50e6e3ddfafe90166e29ca03d3259","MBSF13",0.340055322566253,1,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"83","57b50e6e3ddfafe90166e29ca03d3259","MBSF5",0.33787271918113,2,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"84","57b50e6e3ddfafe90166e29ca03d3259","MBSF7",0.328226096333573,1,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
