"","OTU","Sample","Abundance","Genotype","Day","Treatment","SampleVolume","Kingdom","Phylum","Class","Order","Family","Genus"
"72","03b8108cd068fb455723194ee5c8e452","MBSF7",0.0991015153547003,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"73","03b8108cd068fb455723194ee5c8e452","MBSF9",0.0775253216534355,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"74","03b8108cd068fb455723194ee5c8e452","MBSF3",0.0247591385661661,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"75","03b8108cd068fb455723194ee5c8e452","R2D3BW",0.0202487300753197,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"76","03b8108cd068fb455723194ee5c8e452","MBSF5",0.0192707131317794,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"77","03b8108cd068fb455723194ee5c8e452","R2D2BW",0.0186329044807699,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"78","03b8108cd068fb455723194ee5c8e452","R3D3BW",0.0153824639910502,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"79","03b8108cd068fb455723194ee5c8e452","R3D1BW",0.0140990017495112,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"80","03b8108cd068fb455723194ee5c8e452","R2D1BW",0.0135828657451759,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"81","03b8108cd068fb455723194ee5c8e452","MBSF2",0.0128726994398636,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"82","03b8108cd068fb455723194ee5c8e452","MBSF6",0.0084631277813096,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"83","03b8108cd068fb455723194ee5c8e452","R1D3BW",0.00397891871138878,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"84","03b8108cd068fb455723194ee5c8e452","MBSF1",0.00124470029950601,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"85","03b8108cd068fb455723194ee5c8e452","R1D2BW",0.000346356331393738,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"86","03b8108cd068fb455723194ee5c8e452","MBSF4",0.000311380974622451,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"87","03b8108cd068fb455723194ee5c8e452","R1D1BW",0.000305075696907295,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
"88","e63635d7ee1b269910178a8853e38d2b","R2D1BW",0.055665799917887,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"89","e63635d7ee1b269910178a8853e38d2b","R3D1BW",0.0542691502864396,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"90","e63635d7ee1b269910178a8853e38d2b","R2D2BW",0.0471624065795311,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"91","e63635d7ee1b269910178a8853e38d2b","R3D3BW",0.0433505803384142,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"92","e63635d7ee1b269910178a8853e38d2b","R2D3BW",0.0430197933088107,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"93","e63635d7ee1b269910178a8853e38d2b","MBSF3",0.0279824312836498,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"94","e63635d7ee1b269910178a8853e38d2b","R1D3BW",0.0273288890440124,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"95","e63635d7ee1b269910178a8853e38d2b","MBSF2",0.0158299412030755,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
